 9.9999999999999992e-02  4.6811958934799835e-02  1.0228809000000000e-02 3.0394949999999997e-03 
 4.9999999999999996e-02  2.7658200335441949e-02  1.5515144999999999e-02 5.0104130000000000e-03 
 2.4999999999999998e-02  1.5272829366783352e-02  2.5540759999999999e-02 9.2269380000000005e-03 
 1.2499999999999999e-02  8.0831170170488527e-03  4.4057888000000003e-02 1.5513849000000000e-02 
 6.2499999999999995e-03  4.1685297694641459e-03  8.1034668000000004e-02 3.1495318000000001e-02 
 3.1249999999999997e-03  2.1182470649389988e-03  1.3961077699999999e-01 5.1529247999999993e-02 
 1.5624999999999999e-03  1.0679140343101585e-03  2.6039396999999997e-01 9.8224569000000025e-02 
 7.8124999999999993e-04  5.3619202165703858e-04  5.0167117900000002e-01 1.7165761499999999e-01 
 3.9062499999999997e-04  2.6865944246392756e-04  1.0152333210000000e+00 3.8078422200000023e-01 
 1.9531249999999998e-04  1.3447116196481368e-04  2.0436311140000001e+00 7.6452135700000046e-01 
 9.7656249999999992e-05  6.7271013413229552e-05  4.0376477380000004e+00 1.4930280209999998e+00 
 4.8828124999999996e-05  3.3644373920418275e-05  7.0361949010000000e+00 2.6521593529999983e+00 
 2.4414062499999998e-05  1.6824404693960987e-05  1.2226697163000001e+01 4.6310173150000065e+00 
 1.2207031249999999e-05  8.4127568868233582e-06  2.4522380568999999e+01 9.2665609769999939e+00 
 6.1035156249999995e-06  4.2065170730368195e-06  4.7846834889000000e+01 1.7794212634000022e+01 
 3.0517578124999997e-06  2.1032931701303603e-06  9.6131204620999995e+01 3.5526161213000307e+01 
 1.5258789062499999e-06  1.0516552185341199e-06  1.9132605663699999e+02 7.2061133077000477e+01 
 7.6293945312499994e-07  5.2582975317017056e-07  3.8651446978600001e+02 1.4465934147899966e+02 
