 9.9999999999999992e-02  3.7562618413185415e-02  1.0442678900000001e-01 3.0363582000000007e-02 
 4.9999999999999996e-02  2.3074589451891780e-02  1.5518916199999999e-01 4.3520398000000002e-02 
 2.4999999999999998e-02  1.2920422483038652e-02  2.9567897799999998e-01 8.2472120999999995e-02 
 1.2499999999999999e-02  6.8810838553616770e-03  5.5306606400000002e-01 1.4812919299999999e-01 
 6.2499999999999995e-03  3.5611200379191792e-03  9.5418906299999995e-01 2.6287917199999999e-01 
 3.1249999999999997e-03  1.8133177333938613e-03  1.7921967960000000e+00 5.0117262199999990e-01 
 1.5624999999999999e-03  9.1525238789026339e-04  3.5335072310000002e+00 9.9471238099999981e-01 
 7.8124999999999993e-04  4.5983826580878184e-04  7.0526325490000001e+00 1.9809281790000011e+00 
 3.9062499999999997e-04  2.3048300988376055e-04  1.3806954929000000e+01 3.8739299020000000e+00 
 1.9531249999999998e-04  1.1538446211383988e-04  2.5692236196000000e+01 7.2120590579999959e+00 
 9.7656249999999992e-05  5.7728352613667377e-05  4.8076816032000004e+01 1.3652453381999992e+01 
 4.8828124999999996e-05  2.8873282013664597e-05  8.8322512419999995e+01 2.5362460611999992e+01 
 2.4414062499999998e-05  1.4438931775877240e-05  1.6191404080900000e+02 4.6980849428000013e+01 
 1.2207031249999999e-05  7.2200408537358152e-06  3.0437489359500000e+02 8.9480736890999736e+01 
 6.1035156249999995e-06  3.6101642061948935e-06  6.5346750837599996e+02 1.9165889696399873e+02 
